time,1,2,3,4,5,6,7
0.0,32.11544017,118.9503448,11.99456214,0.8235535026,81.76358795,3.687654972,3.687654972
0.02,32.11544017,118.9503448,11.99456214,0.8235535026,81.76358795,3.687654972,3.687654972
0.04,32.11544017,118.9503448,11.99456214,0.8235535026,81.76358795,3.687654972,3.687654972
0.06,32.11544017,118.9503448,11.99456214,0.8235535026,81.76358795,3.687654972,3.687654972
0.08,32.11580424028949,118.94947050431364,0.22193386247966984,0.0056493856861500324,1.4398381869634278,21.012695914680105,0.0
0.1,32.11580782580851,118.9494732301468,2.209865336152055,0.0562527117713735,14.3369221059268,20.854872637844483,0.0
0.12,32.11581141132753,118.94947595598,4.197796809824439,0.106856037856597,27.234006024890167,20.69704936100886,0.0
0.14,32.115814996846545,118.94947868181316,6.185728283496825,0.1574593639418206,40.13108994385355,20.53922608417324,0.0
0.16,32.11581858236556,118.94948140764632,8.17365975716921,0.2080626900270441,53.02817386281692,20.38140280733762,0.0
0.18,32.11582216788457,118.9494841334795,10.161591230841594,0.2586660161122676,65.92525778178029,20.223579530502,0.0
0.2,32.11582575340359,118.94948685931269,12.14952270451398,0.3092693421974912,78.82234170074368,20.06575625366638,0.0
0.22,32.11582933892261,118.94948958514584,14.137454178186363,0.3598726682827147,91.71942561970702,19.90793297683076,0.0
0.24,32.11583292444163,118.949492310979,16.12538565185875,0.4104759943679383,104.6165095386704,19.750109699995136,0.0
0.26,32.11583650996064,118.94949503681218,18.113317125531136,0.4610793204531618,117.5135934576338,19.592286423159518,0.0
0.28,32.115840095479655,118.94949776264536,20.10124859920352,0.5116826465383855,130.4106773765972,19.434463146323893,0.0
0.3,32.11584368099867,118.94950048847852,22.089180072875905,0.5622859726236089,143.30776129556054,19.27663986948827,0.0
0.32,32.11584726651769,118.94950321431168,24.07711154654829,0.6128892987088325,156.2048452145239,19.11881659265265,0.0
0.34,32.11585085203671,118.94950594014486,26.06504302022068,0.663492624794056,169.10192913348732,18.960993315817028,0.0
0.36,32.115854437555726,118.94950866597804,28.05297449389306,0.7140959508792795,181.99901305245064,18.80317003898141,0.0
0.38,32.115858023074736,118.9495113918112,30.040905967565447,0.764699276964503,194.89609697141404,18.64534676214579,0.0
0.4,32.115861608593754,118.94951411764436,32.02883744123783,0.8153026030497266,207.7931808903774,18.487523485310167,0.0
0.42,32.11586519411277,118.94951684347754,34.016768914910216,0.86590592913495,220.6902648093408,18.329700208474545,0.0
0.44,32.11586877963179,118.94951956931072,36.0047003885826,0.9165092552201736,233.58734872830416,18.171876931638923,0.0
0.46,32.11587236515081,118.9495222951439,37.99263186225499,0.9671125813053972,246.48443264726757,18.014053654803302,0.0
0.48,32.115875950669825,118.94952502097706,39.98056333592737,1.0177159073906206,259.3815165662309,17.856230377967684,0.0
