time,1,2,3
0.0,-18.625,-21.1875,-7.5625
0.02,-18.625,-21.1875,-7.5625
0.04,-18.63979749375,-21.17270250625,-7.5625
0.06,-18.70229749375,-21.0954050125,-7.5329050125
0.08,-18.7795949875,-21.04439248125,-7.45229749375
0.1,-18.91939248125,-21.17270250625,-7.4112150375
0.12,-19.0625,-21.13979749375,-7.11020250625
0.14,-19.0920949875,-21.1875,-7.04770250625
0.16,-19.1875,-21.11351253125,-6.940810025
0.18,-19.1875,-20.86020250625,-6.7204050125
0.2,-19.26148746875,-20.85689248125,-6.625
0.22,-19.4704050125,-21.01479749375,-6.63979749375
0.24,-19.30101253125,-21.04770250625,-6.85027243125
0.26,-19.10689248125,-21.0295949875,-7.33060751875
0.28,-19.23520250625,-21.11020250625,-7.14310751875
0.3,-19.2170949875,-21.04770250625,-6.95560751875
0.32,-19.371689975,-20.9704050125,-6.73851253125
0.34,-19.57729749375,-20.934189975,-6.4704050125
0.36,-19.63979749375,-21.05101253125,-6.44898746875
0.38,-19.79108245625,-20.8420949875,-6.6579050125
0.4,-20.1545949875,-20.9375,-6.5625
0.42,-20.32398746875,-20.86351253125,-6.5625
0.44,-20.621689975,-20.625,-6.503310025
0.46,-20.85689248125,-20.58060751875,-6.23851253125
0.48,-21.059189975,-20.39310751875,-6.0
0.5,-21.32398746875,-20.2204050125,-6.0
0.52,-21.60689248125,-20.13979749375,-6.0
0.54,-21.76479749375,-20.14310751875,-6.07398746875
0.56,-21.945677443750004,-20.01479749375,-6.356892481250001
0.58,-22.434189975,-20.0329050125,-6.4704050125
0.6,-22.684189975,-19.89310751875,-6.44898746875
0.62,-22.934189975,-19.73520250625,-6.70229749375
0.64,-23.11020250625,-19.6579050125,-6.76479749375
0.66,-23.07729749375,-19.60689248125,-6.7829050125
0.68,-23.16939248125,-19.79439248125,-6.509930075
0.7,-23.29770250625,-19.98189248125,-5.9079050125
0.72,-23.190810025,-20.25817744375,-5.8125
0.74,-22.940810025,-20.73189248125,-5.76810751875
0.76,-22.70560751875,-20.94898746875,-5.72858245625
0.78,-22.44412005,-21.20229749375,-6.0920949875
0.8,-22.0625,-21.2795949875,-6.1875
0.82,-22.0329050125,-21.2862150375,-6.2762849625
0.84,-21.878310025,-21.01479749375,-6.63648746875
0.86,-21.628310025,-20.9737150375,-6.77141754375
0.88,-21.36351253125,-20.746689975,-6.31912005
0.9,-21.0954050125,-20.92270250625,-5.9670949875
0.92,-21.04439248125,-20.875,-6.003310024999999
0.94,-21.17270250625,-20.875,-5.8125
0.96,-21.11020250625,-20.875,-5.85689248125
0.98,-21.0920949875,-20.875,-6.07398746875
1.0,-21.2170949875,-20.8454050125,-6.3420949875
1.02,-21.3420949875,-20.690810025,-6.511487468750001
1.04,-21.4375,-20.4704050125,-6.794392481250001
1.06,-21.526284962500004,-20.33060751875,-7.085474937500004
1.08,-21.82729749375,-20.128310025,-7.5920949875
1.1,-21.86020250625,-19.95229749375,-7.746689975000002
1.12,-21.82729749375,-19.95560751875,-8.011487468750001
1.14,-21.88979749375,-19.753310025,-8.25
1.16,-21.848715037500003,-19.54770250625,-8.205607518750002
1.18,-21.621689975,-19.48520250625,-8.0920949875
1.2,-21.70891754375,-19.45229749375,-8.172702506250001
1.22,-21.33060751875,-19.51479749375,-8.1545949875
1.24,-21.17270250625,-19.57729749375,-8.2204050125
1.26,-21.05101253125,-19.625,-8.065810025
1.28,-20.8420949875,-19.625,-7.860202506249999
1.3,-20.92270250625,-19.63979749375,-7.8125
1.32,-20.83060751875,-19.7170949875,-7.8125
1.34,-20.6875,-19.93087995,-7.738512531249999
1.36,-20.64310751875,-20.401284962500004,-7.514797493750001
1.38,-20.45560751875,-20.6875,-7.518107518750001
1.4,-20.3125,-20.7170949875,-7.404594987499999
1.42,-20.32729749375,-20.70891754375,-7.677569924999996
1.44,-20.4045949875,-20.315810025,-8.353582456249997
1.46,-20.559189975,-20.00662005,-8.761487468749998
1.48,-20.73520250625,-19.61020250625,-9.0295949875
1.5,-20.64310751875,-19.54770250625,-9.1545949875
1.52,-20.45560751875,-19.5,-9.2204050125
1.54,-20.38648746875,-19.42601253125,-9.169392481250002
1.56,-20.69898746875,-19.1579050125,-9.268107518749998
1.58,-20.95229749375,-19.07729749375,-9.1545949875
1.6,-21.133177443750004,-19.11020250625,-9.205607518749998
1.62,-21.60689248125,-19.0329050125,-9.07729749375
1.64,-21.661215037500003,-18.95229749375,-9.1545949875
1.66,-21.375,-18.98520250625,-9.25
1.68,-21.38979749375,-18.92270250625,-9.2204050125
1.7,-21.42270250625,-18.8454050125,-9.065810025
1.72,-21.41939248125,-18.7204050125,-8.786215037500002
1.74,-21.63648746875,-18.61020250625,-8.4704050125
1.76,-21.934189975,-18.5625,-8.345405012499999
1.78,-22.19898746875,-18.5920949875,-8.323987468750001
1.8,-22.42270250625,-18.6579050125,-8.57729749375
1.82,-22.36020250625,-18.666082456250003,-8.625
1.84,-22.253310025,-19.01479749375,-8.669392481250002
1.86,-22.003310025,-19.07729749375,-8.753310025
1.88,-21.723715037500003,-19.184189975,-8.458917543750003
1.9,-21.378310025,-19.41939248125,-8.036215037500002
1.92,-21.06912005,-19.621689975,-7.616822556250003
1.94,-20.67270250625,-19.88648746875,-7.039525062500004
1.96,-20.61020250625,-20.1545949875,-6.5625
1.98,-20.54770250625,-20.25,-6.651284962499998
2.0,-20.48520250625,-20.20560751875,-7.026284962500002
2.02,-20.4375,-20.04770250625,-7.3420949875
2.04,-20.33391754375,-20.04439248125,-7.378310024999998
2.06,-19.86682255625,-20.11351253125,-7.1875
2.08,-19.39310751875,-19.9045949875,-7.113512531249999
2.1,-19.2204050125,-19.95560751875,-6.934189975000002
2.12,-19.1545949875,-19.82729749375,-7.080607518749999
2.14,-19.29439248125,-19.75662005,-6.981892481250001
2.16,-19.496689975,-19.33060751875,-7.213784962500002
2.18,-19.67270250625,-19.20229749375,-7.5295949875
2.2,-19.565810025,-19.25,-7.639797493750001
2.22,-19.2862150375,-19.2795949875,-7.672702506249999
2.24,-18.95560751875,-19.38979749375,-7.669392481250001
2.26,-18.8125,-19.36351253125001,-7.842094987499998
2.28,-18.8420949875,-19.125,-7.9375
2.3,-18.9670949875,-19.1545949875,-8.026284962499993
2.32,-19.1512849625,-19.190810025000005,-8.356892481249997
2.34,-19.378310025000005,-18.940810025000005,-8.559189974999995
2.36,-19.1579050125,-18.76479749375,-8.690810025000003
2.38,-19.151284962500004,-18.7829050125,-8.544392481250002
2.4,-19.39310751875,-18.628310025,-8.67270250625
2.42,-19.25,-18.45229749375,-8.580607518749998
2.44,-19.29439248125,-18.5295949875,-8.378310025
